fold,animais_val,f1_tr,f1_val
1,"['06', '12']",0.9999814565742721,0.780862927497366
2,"['01', '18']",0.9999810474300047,0.8049882461411683
3,"['02', '03', '17']",1.0,0.7913623398831365
4,"['07', '14', '15', '16']",1.0,0.7513305916099527
5,"['05', '08', '09', '13']",0.9999806776434772,0.7542255433762453
